recipient,donor,total,Air_transport,Rail_transport,Industrial_development,Power_generation_non_renewable_sources,RESCHEDULING_AND_REFINANCING,data2
South Africa,Netherlands,1380782,0,0,1380782,0,0,0-0-1380782-0-0
Colombia,Netherlands,2025344,0,0,2025344,0,0,0-0-2025344-0-0
India,Sweden,42940331,0,4306879,12572753,26060699,0,0-4306879-12572753-26060699-0
Thailand,Sweden,13259316,0,0,13259316,0,0,0-0-13259316-0-0
South Africa,Sweden,1262806,0,0,1198432,64374,0,0-0-1198432-64374-0
Chile,Sweden,1084383,0,0,1084383,0,0,0-0-1084383-0-0
Poland,Sweden,839519,250129,383,589007,0,0,250129-383-589007-0-0
India,Switzerland,76369785,0,0,76369785,0,0,0-0-76369785-0-0
Thailand,Switzerland,6063103,0,0,0,6063103,0,0-0-0-6063103-0
Chile,Switzerland,1984348,0,0,1984348,0,0,0-0-1984348-0-0
South Africa,Switzerland,2665028,0,0,2665028,0,0,0-0-2665028-0-0
Colombia,Switzerland,743149,0,0,743149,0,0,0-0-743149-0-0
Brazil,Switzerland,1034972,0,0,1034972,0,0,0-0-1034972-0-0
India,Austria,15283525,0,0,7202447,8081078,0,0-0-7202447-8081078-0
Colombia,Austria,2814444,0,2814444,0,0,0,0-2814444-0-0-0
Thailand,Austria,2281844,0,0,2281844,0,0,0-0-2281844-0-0
Brazil,Austria,5167098,0,0,5167098,0,0,0-0-5167098-0-0
Saudi Arabia,Austria,203662,0,0,203662,0,0,0-0-203662-0-0
India,Spain,8203778,6797785,19497,1386496,0,0,6797785-19497-1386496-0-0
Chile,Spain,2526162,20706,0,2505456,0,0,20706-0-2505456-0-0
Colombia,Spain,3800741,470750,0,3329991,0,0,470750-0-3329991-0-0
Brazil,Spain,1391469,140677,140375,1110417,0,0,140677-140375-1110417-0-0
Thailand,Spain,32435,0,0,32435,0,0,0-0-32435-0-0
Thailand,Korea,1369864,52335,111908,1096198,109423,0,52335-111908-1096198-109423-0
Colombia,Korea,403083,0,58854,344229,0,0,0-58854-344229-0-0
Brazil,Korea,123207,0,0,123207,0,0,0-0-123207-0-0
Chile,Korea,28586,28586,0,0,0,0,28586-0-0-0-0
